Compilation	Reference	Reference DOI	Locality	Glacier	Region	Latitude	Longitude	Elevation (m)	Precipitation (mm/yr)	Slope (m/km)	Type	Lithology	Methodology	Area (km2)	Time interval (yr)	Sediment flux (km3/yr)	Exhumation (m)	Exhumation min (m)	Exhumation max (m)	Erosion rate (mm/yr)	Erosion rate min	Erosion rate max	Comments
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	unnamed	Alps	45.58740	6.46035	482	1288.10000	378.53531	Alpine	met,	Thermochronometric	1.00000E+00	1.00000E+06					7.00000E-01			Estimated from interpolated bedrock AFT-age map at location of Sample CGP 205
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	unnamed	Alps	45.49377	6.32131	511	1189.20000	350.45164	Alpine	met,	Thermochronometric	1.00000E+00	1.00000E+06					7.20000E-01			Estimated from interpolated bedrock AFT-age map at location of Sample CGP 209
This study	Godard et al., 2012	10.1029/2011JF002230	Nar Catchment, Himalaya	unnamed	Central Asia	28.69644	84.16647		1970.40000	441.46268	Alpine	met,	Cosmogenic detrital	1.00000E+03	1.00000E+03					1.00000E+00	0.00000E+00	2.00000E+00	Erosion rate given as <2 mm/yr
This study	Godard et al., 2012	10.1029/2011JF002230	Khansar Catchment, Himalaya	unnamed	Central Asia	28.69644	84.16647		1970.40000	441.46268	Alpine	met,	Cosmogenic detrital	1.00000E+03	1.00000E+03					5.00000E+00	0.00000E+00	1.00000E+01	Erosion rate given as <10 mm/yr
This study	Godard et al., 2012	10.1029/2011JF002230	Dudh Catchment, Himalaya	unnamed	Central Asia	28.69644	84.16647		1970.40000	441.46268	Alpine	met,	Cosmogenic detrital	5.00000E+02	1.00000E+03					7.00000E+00	4.00000E+00	1.00000E+01	
This study	Goehring et al., 2011	10.1130/G32145.1	Swiss Alps	Rhone	Alps	46.62160	8.40399		3001.40000	390.94872	Alpine	met,	Cosmogenic surface	1.00000E-08	5.00000E+03					3.40000E-01	2.00000E-02	6.60000E-01	abrasion rates given (glacial erosion = abrasion+quarrying)
This study	Graham, 2022		Eqaluit tassersuat, Infinity Lake, and Ted Lake, Greenland	S of Jakobshavn Isbæ, Greenland	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Volumetric	3.50000E+01	1.27000E+03					1.40000E-01	5.00000E-02	2.10000E-01	Based on fine sediments stored in lakes alone, considered possibly a minimum estimate
This study	Graham, 2022		Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Volumetric	9.22000E+02	2.20000E+02					3.20000E-01	2.00000E-01	4.40000E-01	Abrasion + quarrying 
This study	Graham, 2022		Eqaluit tassersuat, Infinity Lake, and Ted Lake, Greenland	S of Jakobshavn Isbæ, Greenland	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Volumetric	3.50000E+01	1.27000E+03					5.50000E-01			As the lake estimate, but also including `an estimate of the sediment stored in various additional landforms`
This study	Grosval'd and Glazovskiy, 2008	10.1080/10889378409377218	Earth	global average	global					NaN	Alpine tidewater	#N/A	Volumetric	7.50000E+05	2.80000E+05					2.70000E+00			Assume volume of troughs and fjords is from glacial erosion
This study	Grosval'd and Glazovskiy, 2008	10.1080/10889378409377218	Earth	global average	global					NaN	Alpine tidewater	#N/A	Volumetric	7.50000E+05	1.20000E+05					6.00000E+00			Assume volume of troughs and fjords is from glacial erosion
This study	Gulick et al 2015	10.1073/pnas.1512549112	Gulf of Alaska/St. Elias Mts	unnamed	North American Cordillera	60.26449	-139.10915		4873.70000	262.22071	Alpine	sed,	Volumetric	5.34000E+04	1.20000E+06					3.00000E-01	2.00000E-01	4.00000E-01	
This study	Gulick et al 2015	10.1073/pnas.1512549112	Gulf of Alaska/St. Elias Mts	unnamed	North American Cordillera	60.26449	-139.10915		4873.70000	262.22071	Alpine	sed,	Volumetric	5.34000E+04	1.60000E+06					1.10000E+00	1.40000E+00	7.00000E-01	
This study	Hall et al., 2019		Forsmark/Uppland, Sweden	Fennoscandian Ice Sheet	Fennoscandia	60.42660	18.18600		593.90000	8.17300	Continental		Cosmogenic detrital		3.50000E+04			6.00000E-01	1.60000E+00	3.14286E-02	1.71429E-02	4.57143E-02	https://www.diva-portal.org/smash/get/diva2:1385574/FULLTEXT01.pdf; Hall, A. M., Ebert, K., Goodfellow, B. W., Hättestrand, C., Heyman, J., Krabbendam, M., ... & Stroeven, A. P. (2019). Past and future impact of glacial erosion in Forsmark and Uppland.
This study	Hall et al., 2020	10.1080/04353676.2020.1774244	Eastern Sweden	Fennoscandian Ice Sheet	Fennoscandia	63.74989	18.15440		868.50000	68.78277	Continental	sed,	Volumetric		3.50000E+04			1.00000E+00	4.00000E+00	7.14286E-02	2.85714E-02	1.14286E-01	
This study	Hasholt and Hagedorn, 2000	10.1080/15230430.2000.12003342	Lindemansdalen, Zackenbergelven	unnamed	Greenland	74.514365	-20.624344		373.90000	64.31303	High-latitude		Volumetric	6.95000E+01	1.91781E-02					8.52250E-02			
This study	Hasholt and Hagedorn, 2000	10.1080/15230430.2000.12003342	Lindemansdalen, Zackenbergelven	unnamed	Greenland	74.514365	-20.624344		373.90000	64.31303	High-latitude		Volumetric	2.53000E+01	1.91781E-02					2.97611E-01			
This study	Hasholt and Hagedorn, 2000	10.1080/15230430.2000.12003342	Lindemansdalen, Zackenbergelven	unnamed	Greenland	74.514365	-20.624344		373.90000	64.31303	High-latitude		Volumetric	1.02000E+01	1.91781E-02					8.11667E-01			
This study	Hasholt and Hagedorn, 2000	10.1080/15230430.2000.12003342	Store Sødal, Zackenbergelven	unnamed	Greenland	74.510159	-20.645018		380.40000	64.31303	High-latitude		Volumetric	4.21000E+02	1.91781E-02					7.84611E-02			
This study	Hasholt et al., 2018	10.1080/15230430.2018.1433789	Kangerlussuaq Fjord	Kangerlussuaq	Greenland	67.01100	-50.72000		241.20000	65.82432	Continental	granite, ign, met,	Volumetric	1.26000E+04	1.00000E+01	6.51296E-03				5.16902E-01			
This study	Heimsath and McGlynn, 2008	10.1016/j.geomorph.2007.02.046	Annapurna III, Himalaya	Milarepa's Glacier	Central Asia	28.58436	83.98884		3753.70000	539.21709	Alpine	met,	Volumetric	4.50000E+00	1.00000E+00	5.82000E-03				4.20000E-01	2.60000E-01	5.80000E-01	Erosion rate is the vertical lowering of the headwall, their sediment flux considers both horizontal and vertical erosion
This study	Herman et al., 2015	10.1126/science.aab2386	New Zealand 	Franz Josef	Pacific	-43.46070	170.18610		7241.00000	341.40373	Alpine	siliciclast, shale, sed,	Volumetric	3.70000E+01	4.16667E-01					7.00000E+00	0.00000E+00	5.00000E+02	*found area in DOI: 10.1126/science.264.5164.1434
This study	Hjelstuen et al., 1996	10.1016/0921-8181(95)00014-3	NW Barents / Storfjorden Fan	Fennoscandian Ice Sheet	Fennoscandia	63.11533	19.05290		597.60000	20.16121	Continental		Volumetric	6.90000E+04	2.70000E+06		1.70000E+03			6.29629E-01			
This study	Hodson et al., 1997	10.3189/S0260305500011897	Svalbard	Austre Brøggerbreen	Fennoscandia	78.90990	11.80830		794.10000	136.34786	High-latitude	siliciclast, shale, carb, sed,	Volumetric	1.20000E+01	2.00000E+00					3.53704E-02	3.00000E-02	4.07407E-02	
This study	Hodson et al., 1997	10.3189/S0260305500011897	Svalbard	Finsterwalderbreen	Fennoscandia	78.29340	16.40940		431.20000	174.46034	High-latitude	siliciclast, shale, carb, sed,	Volumetric	4.40000E+01	2.00000E+00					6.68519E-01	2.62963E-01	1.07407E+00	
This study	Hogan et al., 2020	10.5194/tc-14-261-2020	Petermann catchment	Petermann	Greenland	80.50038	-59.51339		235.60000	30.47917	Continental		Volumetric	1.04930E+04	7.60000E+03					1.40000E-01			7.6 ka to present
This study	Hogan et al., 2020	10.5194/tc-14-261-2020	Petermann catchment	Petermann	Greenland	80.50038	-59.51339		235.60000	30.47917	Continental		Volumetric	1.04930E+04	8.70000E+03					3.15000E-01	2.90000E-01	3.40000E-01	
This study	Hogan et al., 2020	10.5194/tc-14-261-2020	Ilulissat region	palaeo-Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Volumetric	3.35040E+04	8.00000E+02					5.20000E-01			800a stillstand
This study	Hogan et al., 2020	10.5194/tc-14-261-2020	Petermann catchment	Petermann	Greenland	80.50038	-59.51339		235.60000	30.47917	Continental		Volumetric	1.04930E+04	1.10000E+03					1.63000E+00	1.41000E+00	1.85000E+00	8.7–7.6 ka
This study	Jamieson et al., 2005	10.1016/j.gloplacha.2004.09.015	Lambert basin	Antarctic Ice Sheet	Antarctica	-73.00000	68.00000		60.50000	48.11317	Continental		Volumetric	1.60000E+06	3.40000E+07	1.32353E-03	2.81250E+01	8.27206E-04		1.50000E-03	1.00000E-03	2.00000E-03	
This study	Kaplan et al., 2005	10.1016/j.yqres.2004.12.003	Argentina	Lago Buenos Aires	South American Cordillera	-46.51339	-72.03758		697.30000	171.83356	Alpine	volc, ign,	Cosmogenic surface	1.00000E-08	1.90000E+05					1.40000E-03	8.00000E-04	2.20000E-03	
This study	Koppes and Hallet, 2002	10.1130/0091-7613(2002)030<0047:IORGRO>2.0.CO;2	Glacier Bay, Alaska	Muir	North American Cordillera	58.92690	-133.90810		3016.80000	315.93207	Alpine tidewater	sed,	Volumetric		7.90000E+01	1.60000E-03				3.70000E+01			
This study	Koppes and Hallet, 2006	10.1029/2005JF000349	Icy Bay, Alaska	Tyndall	North American Cordillera	60.17550	-141.15770		4783.00000	281.11685	Alpine tidewater	sed,	Volumetric	2.05000E+02	3.70000E+01					2.80000E+01	2.30000E+01	3.30000E+01	annual average erosion rate over 37 years (1962-1999) is 28 +/- 5 mm/a, long term estimation is 9 mm/a
This study	Koppes et al., 2009	10.3189/002214309788608796	Tierra del Fuego	Marinelli Glacier	South American Cordillera	-54.53373	-69.57207		2581.70000	260.03047	Alpine tidewater	met,	Volumetric	2.05000E+02	4.50000E+01					8.45000E+01	3.90000E+01	1.30000E+02	
This study	Koppes et al., 2015	10.1038/nature15385	Antarctic Peninsula	Funk	Antarctica	-65.56670	-63.76670		3496.40000	128.22078	Alpine tidewater		Volumetric	1.42000E+02	7.50000E+01					1.00000E-02			Time interval 50-100 years
This study	Koppes et al., 2015	10.1038/nature15385	Antarctic Peninsula	Cadman	Antarctica	-65.61670	-63.78330		3458.80000	130.02132	Alpine tidewater		Volumetric	3.06000E+02	7.50000E+01					3.00000E-02			Time interval 50-100 years
This study	Koppes et al., 2015	10.1038/nature15385	Antarctic Peninsula	Renard/Krebs	Antarctica	-64.66670	-61.63330		2832.00000	88.59397	Alpine tidewater	sed,	Volumetric	1.18000E+02	7.50000E+01					3.00000E-02			Time interval 50-100 years
This study	Koppes et al., 2015	10.1038/nature15385	Antarctic Peninsula	Cayley	Antarctica	-64.33330	-60.96670		3298.60000	93.31558	Alpine tidewater	sed,	Volumetric	7.20000E+02	7.50000E+01					5.00000E-02			Time interval 50-100 years
This study	Koppes et al., 2015	10.1038/nature15385	Antarctic Peninsula	Lever	Antarctica	-65.50000	-63.66670		3749.40000	102.67449	Alpine tidewater	sed,	Volumetric	1.77000E+02	7.50000E+01					7.00000E-02			Time interval 50-100 years
This study	Koppes et al., 2015	10.1038/nature15385	Antarctic Peninsula	Bagshawe	Antarctica	-64.93330	-62.58330		3416.60000	146.41136	Alpine tidewater	sed,	Volumetric	2.41000E+02	7.50000E+01					7.00000E-02			Time interval 50-100 years
This study	Koppes et al., 2015	10.1038/nature15385	Antarctic Peninsula	Bolton	Antarctica	-65.01670	-62.96670		2815.30000	130.81555	Alpine tidewater	sed,	Volumetric	6.20000E+01	7.50000E+01					8.00000E-02			Time interval 50-100 years
This study	Koppes et al., 2015	10.1038/nature15385	Antarctic Peninsula	Fourcade	Antarctica	-62.21670	-58.66670		1467.70000	67.91885	Alpine tidewater	basalt, volc, ign,	Volumetric	2.41000E+02	7.50000E+01					1.00000E-01			Time interval 50-100 years
This study	Koppes et al., 2015	10.1038/nature15385	Magallanes Region, Chile	Europa Glacier	South American Cordillera	-50.25000	-74.20000		7857.10000	280.90921	Alpine tidewater		Volumetric	4.09000E+02	7.50000E+01					2.40000E-01			Time interval 50-100 years
This study	Koppes et al., 2015	10.1038/nature15385	Tierra del Fuego	Marinelli Glacier	South American Cordillera	-54.53373	-69.57207		2581.70000	260.03047	Alpine tidewater	met,	Volumetric	1.54000E+02	7.50000E+01					2.71000E+00			Time interval 50-100 years
This study	Koppes et al., 2015	10.1038/nature15385	Patagonia	Jorge Montt	South American Cordillera	-48.13480	-73.42780		4130.60000	238.74316	Alpine tidewater	met,	Volumetric	5.00000E+02	7.50000E+01					4.00000E+00			Time interval 50-100 years
This study	Koppes et al., 2015	10.1038/nature15385	Tierra del Fuego	Marinelli Glacier	South American Cordillera	-54.53373	-69.57207		2581.70000	260.03047	Alpine tidewater	met,	Volumetric	1.54000E+02	7.50000E+01					7.60000E+00			Time interval 50-100 years
This study	Koppes et al., 2015	10.1038/nature15385	Patagonia	Tyndall	South American Cordillera	-50.99610	-73.65580		6343.90000	269.19251	Alpine tidewater		Volumetric	4.18000E+02	7.50000E+01					8.00000E+00			Time interval 50-100 years
This study	Koppes et al., 2015	10.1038/nature15385	Patagonia	San Rafael	South American Cordillera	-46.76310	-73.81840		6040.50000	228.12326	Alpine tidewater		Volumetric	7.28000E+02	7.50000E+01					1.20000E+01			Time interval 50-100 years
This study	Koppes et al., 2017	10.3189/002214309788608796	Tierra del Fuego	Marinelli Glacier	South American Cordillera	-54.53373	-69.57207		2581.70000	260.03047	Alpine tidewater	met,	Volumetric	1.54000E+02	4.50000E+01					3.90000E+01	5.50000E+01	2.30000E+01	
This study	Laberg and Vorren, 2009	10.1130/B26277.1	Vestfjorden, Norway	Fennoscandian Ice Sheet	Fennoscandia	67.83612	15.03983		1964.90000	143.26593	Outlet ice stream	sed, met,	Volumetric	8.20000E+03	2.35000E+04		4.00000E+01			1.70000E+00			
This study	Laberg et al., 2012	10.1130/B30340.1	SW Barents /  Bjørnøya Fan	Fennoscandian Ice Sheet	Fennoscandia	63.11533	19.05290		597.60000	20.16121	Continental		Volumetric	5.76000E+05	2.70000E+06		1.10000E+03			4.07407E-01			
This study	Laberg et al., 2012	10.1130/B30340.1	SW Barents /  Bjørnøya Fan	Fennoscandian Ice Sheet	Fennoscandia	63.11533	19.05290		597.60000	20.16121	Continental		Volumetric	5.76000E+05	8.00000E+05		3.75000E+02	3.30000E+02	4.20000E+02	4.68750E-01	4.12500E-01	5.25000E-01	
This study	Laberg et al., 2012	10.1130/B30340.1	SW Barents /  Bjørnøya Fan	Fennoscandian Ice Sheet	Fennoscandia	63.11533	19.05290		597.60000	20.16121	Continental		Volumetric	2.00000E+05	7.00000E+05		4.85000E+02	4.40000E+02	5.30000E+02	6.92857E-01	6.28571E-01	7.57143E-01	
This study	Lasabuda et al., 2018	10.1029/2018GC007882	NE Svalbard margin	Fennoscandian Ice Sheet	Fennoscandia	63.11533	19.05290		597.60000	20.16121	Continental		Volumetric	4.75000E+04	2.70000E+06		5.30000E+02	4.10000E+02	6.50000E+02	1.96296E-01	1.51852E-01	2.40741E-01	
This study	Łepkowska and Stachnik, 2018	10.3390/w10101408	Svalbard	Werenskioldbreen	Fennoscandia	77.07824	15.30863		807.10000	109.71648	High-latitude	#N/A	Volumetric	4.40000E+01	7.00000E+00					6.31000E-01	3.39000E-01	1.19000E+00	
This study	Maizels, 1978		Mont Blanc massif	Bossons Glacier	Alps	45.86605	6.85930		2744.90000	464.36977	Alpine	plut, ign,	Volumetric	1.10000E+01	1.00000E+00					7.50000E-01	6.00000E-01	9.00000E-01	
This study	Margerison et al., 2005	10.1016/j.epsl.2004.11.007	Dry Valleys, East Antarctica	Mackay Glacier	Antarctica	-76.98366	161.52648		91.90000	38.56529	Dry Valleys	basalt, volc, ign,	Cosmogenic surface	1.00000E-08	1.04000E+07					5.00000E-05	4.90000E-05	5.10000E-05	
This study	Margerison et al., 2005	10.1016/j.epsl.2004.11.007	Dry Valleys, East Antarctica	Mackay Glacier	Antarctica	-76.98366	161.52648		91.90000	38.56529	Dry Valleys	basalt, volc, ign,	Cosmogenic surface	1.00000E-08	8.86000E+06					6.00000E-05	5.80000E-05	6.20000E-05	
This study	Margerison et al., 2005	10.1016/j.epsl.2004.11.007	Dry Valleys, East Antarctica	Mackay Glacier	Antarctica	-76.98366	161.52648		91.90000	38.56529	Dry Valleys	basalt, volc, ign,	Cosmogenic surface	1.00000E-08	8.63000E+06					6.00000E-05	5.90000E-05	6.10000E-05	
This study	Margerison et al., 2005	10.1016/j.epsl.2004.11.007	Dry Valleys, East Antarctica	Mackay Glacier	Antarctica	-76.98366	161.52648		91.90000	38.56529	Dry Valleys	basalt, volc, ign,	Cosmogenic surface	1.00000E-08	1.00600E+07					6.00000E-05	5.90000E-05	6.10000E-05	
This study	Margerison et al., 2005	10.1016/j.epsl.2004.11.007	Dry Valleys, East Antarctica	Mackay Glacier	Antarctica	-76.98366	161.52648		91.90000	38.56529	Dry Valleys	basalt, volc, ign,	Cosmogenic surface	1.00000E-08	4.90000E+06					1.10000E-04	1.09000E-04	1.11000E-04	
This study	Margerison et al., 2005	10.1016/j.epsl.2004.11.007	Dry Valleys, East Antarctica	Mackay Glacier	Antarctica	-76.98366	161.52648		91.90000	38.56529	Dry Valleys	basalt, volc, ign,	Cosmogenic surface	1.00000E-08	4.92000E+06					1.10000E-04	1.09000E-04	1.11000E-04	
This study	Margerison et al., 2005	10.1016/j.epsl.2004.11.007	Dry Valleys, East Antarctica	Mackay Glacier	Antarctica	-76.98366	161.52648		91.90000	38.56529	Dry Valleys	basalt, volc, ign,	Cosmogenic surface	1.00000E-08	4.29000E+06					1.20000E-04	1.19000E-04	1.21000E-04	
This study	Margerison et al., 2005	10.1016/j.epsl.2004.11.007	Dry Valleys, East Antarctica	Mackay Glacier	Antarctica	-76.98366	161.52648		91.90000	38.56529	Dry Valleys	basalt, volc, ign,	Cosmogenic surface	1.00000E-08	3.07000E+06					1.50000E-04	1.49000E-04	1.51000E-04	
This study	Margerison et al., 2005	10.1016/j.epsl.2004.11.007	Dry Valleys, East Antarctica	Mackay Glacier	Antarctica	-76.98366	161.52648		91.90000	38.56529	Dry Valleys	basalt, volc, ign,	Cosmogenic surface	1.00000E-08	2.08000E+06					2.70000E-04	2.67000E-04	2.73000E-04	
This study	Margerison et al., 2005	10.1016/j.epsl.2004.11.007	Dry Valleys, East Antarctica	Mackay Glacier	Antarctica	-76.98366	161.52648		91.90000	38.56529	Dry Valleys	basalt, volc, ign,	Cosmogenic surface	1.00000E-08	1.73000E+06					3.10000E-04	3.07000E-04	3.13000E-04	
This study	Marriotti et al., 2021	10.1038/s41561-020-00672-2	Var River catchment, Southern Alps	unnamed	Alps	44.04642	7.00557		1403.10000	303.00886	Alpine	sed,	Cosmogenic detrital	5.88000E+02	4.85000E+04					4.00000E-01	0.00000E+00	8.00000E-01	Average MIS 4-3 erosion rate
This study	Marriotti et al., 2021	10.1038/s41561-020-00672-2	Var River catchment, Southern Alps	unnamed	Alps	44.04642	7.00557		1403.10000	303.00886	Alpine	sed,	Cosmogenic detrital	8.40000E+02	7.50000E+03					1.50000E+00	5.00000E-01	2.40000E+00	Average LGM erosion rate
This study	Medvedev et al., 2008	10.1130/G24638A.1	East Greenland	Greenland Ice Sheet	Greenland	70.00000	-30.00000		516.10000	16.48138	Continental	#N/A	Relief	8.00000E+04	1.50000E+07		1.20000E+03			8.00000E-02			Isostatic/flexural method. Duration assumes a total of 15 Ma of Cenozoic glaciation in East Greenland
This study	Meigs et al., 2006	10.1016/j.geomorph.2006.01.029	Icy Bay, Alaska	Tyndall	North American Cordillera	60.17550	-141.15770		4783.00000	281.11685	Alpine tidewater	sed,	Volumetric	1.24000E+01	1.30000E+01					5.00000E+01			Hoof Hill valley reported here; discussion of basin-average erosion rate and sediment storage over multiple glacials (i.e. rate is biased high)
This study	Naylor et al., 2021	10.1126/sciadv.abj2938	Laurentia	Laurentide Ice Sheet	Laurentide	54.00000	-89.00000		609.40000	5.70302	Continental	basalt, volc, ign,	Volumetric		2.60000E+06					2.70000E-02	2.20000E-02	4.00000E-01	
This study	Nesje and Sulebak, 2008	10.1080/00291959408552333	Sognefjord drainage basin, Norway	unnamed (1)	Fennoscandia	61.12586	6.52565		1427.70000	364.62203	High-latitude		Volumetric	1.23390E+04	1.00000E+06		4.40000E+02			4.00000E-01			Assuming glacial erosion in a period of 1 my during the past 2.57 my
This study	Nesje et al., 1992	10.1016/0169-555X(92)90022-G	Sognefjord drainage basin, Norway	unnamed (2)	Fennoscandia	61.11503	6.49212		1420.20000	356.80722	High-latitude		Volumetric	1.25180E+04	2.57000E+06	2.96109E-03				8.00000E-01		1.10000E+00	
This study	Østrem, Ziegler, and Ekman, 1970		Norway	Vesledalsbreen	Fennoscandia	60.69000	6.67920		2601.40000	250.56220	High-latitude	sed, volc, ign, met,	Volumetric	4.00000E+00	2.11538E-01					6.00000E-02			Direct suspended sediment measurements, 1968. Duration is weeks of measurments.
This study	Østrem, Ziegler, and Ekman, 1970		Norway	Nigardsbreen	Fennoscandia	61.57920	7.31470		1930.00000	361.17640	High-latitude	sed, volc, ign, met,	Volumetric	4.00000E+01	2.30769E-01					7.00000E-02			Direct suspended sediment measurements, 1968. Duration is weeks of measurments.
This study	Østrem, Ziegler, and Ekman, 1970		Norway	Vesledalsbreen	Fennoscandia	60.69000	6.67920		2601.40000	250.56220	High-latitude	sed, volc, ign, met,	Volumetric	4.00000E+00	2.11538E-01					1.10000E-01			Direct suspended sediment measurements, 1969. Duration is weeks of measurments.
This study	Østrem, Ziegler, and Ekman, 1970		Norway	Vesledalsbreen	Fennoscandia	60.69000	6.67920		2601.40000	250.56220	High-latitude	sed, volc, ign, met,	Volumetric	4.00000E+00	1.34615E-01					1.20000E-01			Direct suspended sediment measurements, 1967. Duration is weeks of measurments.
This study	Østrem, Ziegler, and Ekman, 1970		Norway	Engabreen	Fennoscandia	67.85560	15.59420		2118.20000	273.61856	High-latitude	sed, met,	Volumetric	3.90000E+01	1.53846E-01					1.60000E-01			Direct suspended sediment measurements, 1969. Duration is weeks of measurments.
This study	Østrem, Ziegler, and Ekman, 1970		Norway	Austre Memurubreen	Fennoscandia	61.58280	8.32275		1639.30000	263.11956	High-latitude	plut, ign,	Volumetric	9.00000E+00	2.11538E-01					1.80000E-01			Direct suspended sediment measurements, 1968. Duration is weeks of measurments.
This study	Østrem, Ziegler, and Ekman, 1970		Norway	Austre Memurubreen	Fennoscandia	61.58280	8.32275		1639.30000	263.11956	High-latitude	plut, ign,	Volumetric	9.00000E+00	1.73077E-01					2.20000E-01			Direct suspended sediment measurements, 1967. Duration is weeks of measurments.
This study	Østrem, Ziegler, and Ekman, 1970		Norway	Austre Memurubreen	Fennoscandia	61.58280	8.32275		1639.30000	263.11956	High-latitude	plut, ign,	Volumetric	9.00000E+00	1.92308E-01					2.60000E-01			Direct suspended sediment measurements, 1969. Duration is weeks of measurments.
This study	Østrem, Ziegler, and Ekman, 1970		Norway	Nigardsbreen	Fennoscandia	61.57920	7.31470		1930.00000	361.17640	High-latitude	sed, volc, ign, met,	Volumetric	4.00000E+01	2.50000E-01					2.70000E-01			Direct suspended sediment measurements, 1969. Duration is weeks of measurments.
This study	Østrem, Ziegler, and Ekman, 1970		Norway	Erdalsbreen	Fennoscandia	61.64100	7.76980		1430.80000	271.50263	High-latitude	sed, volc, ign, met,	Volumetric	1.10000E+01	1.92308E-01					4.50000E-01			Direct suspended sediment measurements, 1968. Duration is weeks of measurments.
This study	Østrem, Ziegler, and Ekman, 1970		Norway	Erdalsbreen	Fennoscandia	61.64100	7.76980		1430.80000	271.50263	High-latitude	sed, volc, ign, met,	Volumetric	1.10000E+01	1.15385E-01					7.00000E-01			Direct suspended sediment measurements, 1967. Duration is weeks of measurments.
This study	Østrem, Ziegler, and Ekman, 1970		Norway	Erdalsbreen	Fennoscandia	61.64100	7.76980		1430.80000	271.50263	High-latitude	sed, volc, ign, met,	Volumetric	1.10000E+01	2.11538E-01					9.50000E-01			Direct suspended sediment measurements, 1969. Duration is weeks of measurments.
This study	Overeem et al., 2017	10.1038/ngeo3046	Greenland	Greenland Ice Sheet	Greenland	72.50000	-38.45000		250.90000	1.80622	Continental		Volumetric	2.16609E+06	1.40000E+01	4.74074E-01				2.18862E-01	1.31659E-01	3.06065E-01	
This study	Pedersen et al., 2021	10.1130/G48836.1	Norway/Sweden	Fennoscandian Ice Sheet	Fennoscandia	67.18026	25.40585		783.50000	25.02615	Continental	plut, ign,	Volumetric		2.70000E+06			1.17000E+02	1.94000E+02	5.76000E-02	4.33000E-02	7.19000E-02	estimate total bedrock erosion in valleys and fjords of ~99 × 10^3 km3. `late Pliocene to Quaternary` Hall et al., 2013 (10.1130/G34806.1) state that 70% of time since 2.7 My was glacial
This study	Pedersen et al., 2021	10.1130/G48836.1	Norway/Sweden	Fennoscandian Ice Sheet	Fennoscandia	67.18026	25.40585		783.50000	25.02615	Continental	plut, ign,	Volumetric		1.89000E+06			1.17000E+02	1.94000E+02	8.22751E-02	6.19048E-02	1.02646E-01	Hall et al., 2013 (10.1130/G34806.1) state that 70% of time since 2.7 My was glacial
This study	Phillips et al., 2006	10.1016/j.geomorph.2005.06.009	Cairngorm Mountains, Scotland	unnamed	British Isles	57.16010	-3.82319		1136.40000	118.26133	Alpine	sed, met,	Cosmogenic surface	1.00000E-08	3.50000E+04					4.10000E-03	2.80000E-03	1.20000E-02	the time intervals used to calc. E rates are a bit unclear, ages interpreted with ice cover duration model; error weighted mean E rate of 4.1 ± 0.2 mm/ka
This study	Rand and Goehring, 2019	10.1017/aog.2019.42	Norway	Engabreen (2)	Fennoscandia	66.66613	13.89531		4853.60000	290.13908	High-latitude	sed, granite, ign, met,	Cosmogenic surface	1.00000E-08	1.00000E+03			1.00000E-01	2.95000E+00	1.52500E+00	1.00000E-01	2.95000E+00	
This study	Riihimaki et al., 2005	10.1029/2004JF000189	Chugach Mountains, Alaska	Bench	North American Cordillera	61.02561	-145.67664		3082.90000	267.93099	Alpine	sed,	Volumetric	7.50000E+00	1.40000E-01					9.00000E-01	7.20000E-01	1.08000E+00	
This study	Riihimaki et al., 2005	10.1029/2004JF000189	Chugach Mountains, Alaska	Bench	North American Cordillera	61.02561	-145.67664		3082.90000	267.93099	Alpine	sed,	Volumetric	7.50000E+00	1.70000E-01					1.40000E+00	1.12000E+00	1.68000E+00	
This study	Riihimaki et al., 2005	10.1029/2004JF000189	Chugach Mountains, Alaska	Bench	North American Cordillera	61.02561	-145.67664		3082.90000	267.93099	Alpine	sed,	Volumetric	7.50000E+00	2.80000E-01					1.80000E+00	1.35000E+00	2.25000E+00	
This study	Ring, 2008	10.1029/2007TC002176	Rwenzori Mountains	unnamed	Africa	0.38540	29.87004		6860.90000	380.94346	Alpine	met,	Relief		3.00000E+05					2.75000E+00	1.50000E+00	4.00000E+00	
This study	Rocchi et al., 2006	10.1130/B25675.1	Dorrel Rock intrusive complex, Marie Byrd Land	Antarctic Ice Sheet	Antarctica	-75.00000	-111.00000		1651.70000	17.56546	Continental		Relief		6.00000E+06		3.00000E+03			5.00000E-01			Oligocene to Holocene erosion
This study	Roland and Haakensen, 1985		Norway	Vesledalsbreen	Fennoscandia	60.69000	6.67920		2601.40000	250.56220	High-latitude	sed, volc, ign, met,	Volumetric	4.03846E+00	6.00000E+00					7.33333E-02	5.00000E-02	1.10000E-01	
